epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2129.55,1.38236,1.6407,1.85478,0.74871,0.73113,0.77527,0.41876,1.56193,1.22635,2.03154,0.000566027,0.000566027,0.000566027
63,2163.28,1.38524,1.63805,1.85174,0.75391,0.75218,0.80691,0.46677,1.51631,1.20272,2.00335,0.00055188,0.00055188,0.00055188
64,2196.85,1.37767,1.63409,1.85005,0.79847,0.73686,0.80154,0.42676,1.62097,1.20477,2.08309,0.000537733,0.000537733,0.000537733
65,2230.49,1.37154,1.61284,1.84386,0.7677,0.74252,0.79571,0.43412,1.59547,1.20966,2.06338,0.000523586,0.000523586,0.000523586
66,2264.13,1.36252,1.60559,1.8378,0.74992,0.77188,0.8075,0.43843,1.59321,1.18476,2.05208,0.000509438,0.000509438,0.000509438
67,2298.06,1.34831,1.59532,1.82636,0.75177,0.72727,0.78759,0.42632,1.5722,1.21853,2.05837,0.000495291,0.000495291,0.000495291
68,2331.45,1.36008,1.58939,1.83896,0.74373,0.75436,0.79769,0.43946,1.58006,1.19244,2.03454,0.000481144,0.000481144,0.000481144
69,2365.44,1.35314,1.59405,1.82281,0.764,0.7238,0.78568,0.42589,1.60026,1.27799,2.03595,0.000466997,0.000466997,0.000466997
70,2399.49,1.35648,1.5919,1.83237,0.75809,0.75363,0.80645,0.44324,1.56466,1.18657,2.0253,0.00045285,0.00045285,0.00045285
71,2433.24,1.35368,1.57641,1.82906,0.7646,0.72812,0.79774,0.4583,1.50708,1.22104,1.96773,0.000438703,0.000438703,0.000438703
72,2466.8,1.3488,1.57835,1.81493,0.78632,0.75364,0.81118,0.47154,1.47922,1.16296,1.94988,0.000424556,0.000424556,0.000424556
73,2500.22,1.34255,1.56793,1.82047,0.73605,0.7684,0.80306,0.46785,1.48548,1.19723,1.93906,0.000410409,0.000410409,0.000410409
74,2534.26,1.35116,1.55668,1.81626,0.77264,0.7934,0.82427,0.43661,1.58663,1.15227,2.04291,0.000396262,0.000396262,0.000396262
75,2568.04,1.35455,1.56565,1.82541,0.79042,0.76748,0.82112,0.4606,1.53233,1.16874,1.99047,0.000382115,0.000382115,0.000382115
76,2601.42,1.33543,1.56564,1.80546,0.79124,0.76606,0.82907,0.48793,1.45813,1.12956,1.92782,0.000367967,0.000367967,0.000367967
77,2635.18,1.33156,1.55786,1.80457,0.75548,0.77753,0.82511,0.49195,1.41848,1.12817,1.87586,0.00035382,0.00035382,0.00035382
78,2668.96,1.32993,1.54502,1.80088,0.79207,0.75636,0.82913,0.4872,1.4719,1.1075,1.91775,0.000339673,0.000339673,0.000339673
79,2703.16,1.33852,1.55132,1.8075,0.80561,0.7549,0.83235,0.47658,1.50653,1.10923,1.97084,0.000325526,0.000325526,0.000325526
80,2737.33,1.3203,1.53154,1.79258,0.7754,0.80244,0.84425,0.49048,1.44908,1.07461,1.91816,0.000311379,0.000311379,0.000311379
81,2772.21,1.34328,1.54198,1.8124,0.79902,0.76563,0.83239,0.46603,1.5383,1.1495,1.99088,0.000297232,0.000297232,0.000297232
82,2805.83,1.32397,1.5087,1.80242,0.77809,0.75437,0.81351,0.44224,1.56663,1.13836,2.02451,0.000283085,0.000283085,0.000283085
83,2839.99,1.32826,1.51856,1.80384,0.80559,0.77407,0.83468,0.47345,1.48988,1.11719,1.93825,0.000268938,0.000268938,0.000268938
84,2873.81,1.33611,1.53126,1.80598,0.78795,0.79583,0.84164,0.51581,1.39071,1.08101,1.8482,0.000254791,0.000254791,0.000254791
85,2908.07,1.31607,1.50124,1.79716,0.77933,0.76638,0.81929,0.45563,1.56324,1.1398,2.00943,0.000240644,0.000240644,0.000240644
86,2942.04,1.30737,1.50825,1.79168,0.7988,0.79824,0.85049,0.51353,1.42316,1.07535,1.87551,0.000226497,0.000226497,0.000226497
87,2976.24,1.31504,1.50425,1.79151,0.78382,0.77389,0.82473,0.49482,1.41524,1.12522,1.88052,0.000212349,0.000212349,0.000212349
88,3010.11,1.32228,1.50394,1.79745,0.77747,0.78651,0.83962,0.4981,1.45185,1.08402,1.89155,0.000198202,0.000198202,0.000198202
89,3043.68,1.29783,1.47943,1.77357,0.79614,0.78248,0.84002,0.50404,1.425,1.08587,1.87564,0.000184055,0.000184055,0.000184055
90,3077.37,1.28353,1.46703,1.76827,0.80111,0.78535,0.84346,0.50069,1.44542,1.06887,1.88583,0.000169908,0.000169908,0.000169908
91,3121.87,1.11659,1.05645,1.70206,0.80644,0.79026,0.84252,0.50054,1.42818,1.05303,1.87817,0.000155761,0.000155761,0.000155761
92,3153.37,1.09933,0.95695,1.67323,0.81184,0.78454,0.84484,0.48895,1.47187,1.04626,1.93635,0.000141614,0.000141614,0.000141614
93,3184.91,1.08514,0.94313,1.66306,0.79085,0.81637,0.8573,0.53111,1.37143,1.0237,1.83618,0.000127467,0.000127467,0.000127467
94,3216.41,1.08002,0.93071,1.66752,0.85112,0.76801,0.85221,0.48908,1.47243,1.05417,1.95079,0.00011332,0.00011332,0.00011332
95,3247.92,1.06531,0.91227,1.63601,0.82219,0.80279,0.85391,0.49292,1.45925,1.03628,1.93143,9.91726e-05,9.91726e-05,9.91726e-05
96,3279.36,1.06974,0.91827,1.65001,0.8078,0.80952,0.85885,0.52662,1.36741,1.00743,1.844,8.50255e-05,8.50255e-05,8.50255e-05
97,3310.94,1.06031,0.90436,1.64289,0.80395,0.82541,0.85754,0.5232,1.36597,1.02343,1.83726,7.08784e-05,7.08784e-05,7.08784e-05
98,3342.37,1.0399,0.89654,1.6241,0.82792,0.81377,0.86177,0.51465,1.3975,1.01024,1.87819,5.67313e-05,5.67313e-05,5.67313e-05
99,3373.81,1.04994,0.88775,1.63708,0.82494,0.82,0.86448,0.51942,1.38381,0.99919,1.85462,4.25842e-05,4.25842e-05,4.25842e-05
100,3405.22,1.04014,0.88037,1.6244,0.82381,0.82023,0.86398,0.52906,1.37009,0.99443,1.84053,2.84371e-05,2.84371e-05,2.84371e-05
